Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Influencer Outreach,10/07/2025,9:30 AM,10/07/2025,10:30 AM,False,Prospect and email influencers,Office,False
Analytics Review,10/07/2025,10:30 AM,10/07/2025,11:30 AM,False,Check post performance and trends,Office,False
Lunch,10/07/2025,12:00 PM,10/07/2025,12:30 PM,False,Lunch break,Cafe,False
Community Management,10/07/2025,12:30 PM,10/07/2025,1:00 PM,False,Reply to comments and DMs,Office,False
Creative Review with Brand,10/07/2025,2:00 PM,10/07/2025,3:00 PM,False,Review assets with brand team,Office,False
School Pickup (Partner),10/07/2025,3:15 PM,10/07/2025,3:45 PM,False,Partner pickup today,Elementary School,True
Yoga Class,10/07/2025,6:00 PM,10/07/2025,7:00 PM,False,Evening yoga,Studio,True
Family Reading Time,10/07/2025,7:30 PM,10/07/2025,8:00 PM,False,Reading time with kids,Home,True
Dog Walk (Morning),10/08/2025,6:30 AM,10/08/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/08/2025,7:45 AM,10/08/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/08/2025,9:00 AM,10/08/2025,9:15 AM,False,Daily standup with social team,Office,False
Photo/Video Shoot,10/08/2025,10:00 AM,10/08/2025,12:00 PM,False,Shoot content for campaign,Studio,False
Lunch,10/08/2025,12:15 PM,10/08/2025,12:45 PM,False,Quick lunch,Cafe,False
Editing & Caption Writing,10/08/2025,1:00 PM,10/08/2025,2:30 PM,False,Edit footage and write captions,Office,False
School Pickup,10/08/2025,3:15 PM,10/08/2025,3:45 PM,False,Pick up kids from school,Elementary School,True
Dance Class (Child),10/08/2025,5:30 PM,10/08/2025,6:15 PM,False,Kids dance class,Dance Studio,True
Dinner,10/08/2025,6:45 PM,10/08/2025,7:30 PM,False,Family dinner,Home,True
Dog Walk (Evening),10/08/2025,8:15 PM,10/08/2025,8:35 PM,False,Evening walk with the dog,Neighborhood,True
Dog Walk (Morning),10/09/2025,6:30 AM,10/09/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/09/2025,7:45 AM,10/09/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/09/2025,9:00 AM,10/09/2025,9:15 AM,False,Daily standup with social team,Office,False
Creative Review with Brand,10/09/2025,2:00 PM,10/09/2025,3:00 PM,False,Review assets with brand team,Office,False
Lunch,10/09/2025,12:00 PM,10/09/2025,12:30 PM,False,Lunch break,Cafe,False
Community Management,10/09/2025,12:30 PM,10/09/2025,1:00 PM,False,Reply to comments and DMs,Office,False
Campaign Build (Ads Manager),10/09/2025,1:00 PM,10/09/2025,2:00 PM,False,Build ad sets and targeting,Office,False
School Pickup (Partner),10/09/2025,3:15 PM,10/09/2025,3:45 PM,False,Partner pickup today,Elementary School,True
Soccer Practice (Child),10/09/2025,5:30 PM,10/09/2025,6:30 PM,False,Kids soccer practice,Community Field,True
Date Night (Home),10/09/2025,8:00 PM,10/09/2025,9:30 PM,False,Movie night at home,Home,True
Dog Walk (Morning),10/10/2025,6:30 AM,10/10/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/10/2025,7:45 AM,10/10/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/10/2025,9:00 AM,10/10/2025,9:15 AM,False,Daily standup with social team,Office,False
Weekly Metrics Report,10/10/2025,10:00 AM,10/10/2025,11:00 AM,False,Compile weekly social report,Office,False
Lunch,10/10/2025,12:00 PM,10/10/2025,12:30 PM,False,Lunch break,Cafe,False
Community Management,10/10/2025,12:30 PM,10/10/2025,1:00 PM,False,Reply to comments and DMs,Office,False
Campaign Retro,10/10/2025,3:00 PM,10/10/2025,4:00 PM,False,Retro on last campaign,Office,False
School Pickup,10/10/2025,3:15 PM,10/10/2025,3:45 PM,False,Pick up kids from school,Elementary School,True
Family Pizza Night,10/10/2025,6:30 PM,10/10/2025,7:30 PM,False,Friday pizza night,Home,True
Park Playtime,10/11/2025,9:30 AM,10/11/2025,10:30 AM,False,Play at the park with kids,City Park,True
Swim Class (Child),10/11/2025,10:30 AM,10/11/2025,11:30 AM,False,Kids swim class,Community Pool,True
Dog Grooming,10/11/2025,12:00 PM,10/11/2025,1:00 PM,False,Grooming appointment for dog,Pet Groomer,True
Family Afternoon Outing,10/11/2025,2:00 PM,10/11/2025,4:00 PM,False,Visit library and ice cream,Library,True
Date Night (Dinner),10/11/2025,7:00 PM,10/11/2025,9:00 PM,False,Dinner reservation,Restaurant,True
Grocery Run,10/12/2025,11:00 AM,10/12/2025,12:00 PM,False,Weekly groceries,Market,True
Meal Prep,10/12/2025,4:00 PM,10/12/2025,5:00 PM,False,Prep meals for the week,Home,True
Family Movie Night,10/12/2025,6:30 PM,10/12/2025,8:00 PM,False,Movie and popcorn,Home,True
School Fall Break,10/13/2025,,10/13/2025,,True,No school - fall break,Home,True
Dog Walk (Morning),10/13/2025,7:30 AM,10/13/2025,8:00 AM,False,Morning walk with the dog,Neighborhood,True
Social Team Standup,10/13/2025,9:00 AM,10/13/2025,9:15 AM,False,Daily standup with social team,Office,False
Q4 Planning Workshop,10/13/2025,10:00 AM,10/13/2025,11:30 AM,False,Plan Q4 content themes,Office,False
Lunch,10/13/2025,12:00 PM,10/13/2025,12:30 PM,False,Lunch break,Cafe,False
Community Management,10/13/2025,12:30 PM,10/13/2025,1:00 PM,False,Reply to comments and DMs,Office,False
School Pickup (Camp),10/13/2025,3:15 PM,10/13/2025,3:45 PM,False,Pick up kids from day camp,Community Center,True
Family Bike Ride,10/13/2025,5:30 PM,10/13/2025,6:30 PM,False,Evening bike ride,Neighborhood,True
Campaign Launch: Autumn Sale,10/14/2025,9:00 AM,10/14/2025,9:30 AM,False,Publish campaign teaser post,Office,False
Campaign Launch: Midday Post,10/14/2025,12:00 PM,10/14/2025,12:30 PM,False,Midday push post,Office,False
Campaign Launch: Evening Post,10/14/2025,7:00 PM,10/14/2025,7:30 PM,False,Evening audience post,Home,False
Dog Walk (Morning),10/14/2025,6:30 AM,10/14/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/14/2025,7:45 AM,10/14/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/14/2025,9:00 AM,10/14/2025,9:15 AM,False,Daily standup with social team,Office,False
Influencer Contract Review,10/14/2025,10:00 AM,10/14/2025,11:00 AM,False,Review terms and briefs,Office,False
Lunch,10/14/2025,12:30 PM,10/14/2025,1:00 PM,False,Lunch break,Cafe,False
Soccer Practice (Child),10/14/2025,5:30 PM,10/14/2025,6:30 PM,False,Kids soccer practice,Community Field,True
PTA Meeting,10/14/2025,6:45 PM,10/14/2025,7:45 PM,False,School PTA monthly meeting,Elementary School,True
Dog Walk (Morning),10/15/2025,6:30 AM,10/15/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/15/2025,7:45 AM,10/15/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
WFH Day,10/15/2025,9:00 AM,10/15/2025,5:00 PM,False,Working from home today,Home Office,False
All-Hands Meeting,10/16/2025,11:00 AM,10/16/2025,12:00 PM,False,Company all-hands,Office,False
Dog Walk (Morning),10/16/2025,6:30 AM,10/16/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/16/2025,7:45 AM,10/16/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/16/2025,9:00 AM,10/16/2025,9:15 AM,False,Daily standup with social team,Office,False
Creative Review with Brand,10/16/2025,2:00 PM,10/16/2025,3:00 PM,False,Review assets with brand team,Office,False
Soccer Practice (Child),10/16/2025,5:30 PM,10/16/2025,6:30 PM,False,Kids soccer practice,Community Field,True
Budget Review,10/17/2025,2:00 PM,10/17/2025,3:00 PM,False,Review spend and forecast,Office,False
Dog Walk (Morning),10/17/2025,6:30 AM,10/17/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/17/2025,7:45 AM,10/17/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/17/2025,9:00 AM,10/17/2025,9:15 AM,False,Daily standup with social team,Office,False
Weekly Metrics Report,10/17/2025,10:00 AM,10/17/2025,11:00 AM,False,Compile weekly social report,Office,False
School Pickup,10/17/2025,3:15 PM,10/17/2025,3:45 PM,False,Pick up kids from school,Elementary School,True
Family Game Night,10/17/2025,6:30 PM,10/17/2025,7:30 PM,False,Board games with kids,Home,True
Birthday Party (Friend's Child),10/18/2025,1:00 PM,10/18/2025,3:00 PM,False,Classmate birthday party,Play Center,True
Park Playtime,10/18/2025,9:30 AM,10/18/2025,10:30 AM,False,Play at the park with kids,City Park,True
Date Night (Movie),10/18/2025,7:00 PM,10/18/2025,9:30 PM,False,Movie night out,Cinema,True
Grocery Run,10/19/2025,11:00 AM,10/19/2025,12:00 PM,False,Weekly groceries,Market,True
Meal Prep,10/19/2025,4:00 PM,10/19/2025,5:00 PM,False,Prep meals for the week,Home,True
Weekly Family Planning,10/19/2025,5:15 PM,10/19/2025,5:45 PM,False,Plan family schedule,Home,True
Dog Walk (Morning),10/20/2025,6:30 AM,10/20/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/20/2025,7:45 AM,10/20/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/20/2025,9:00 AM,10/20/2025,9:15 AM,False,Daily standup with social team,Office,False
Content Brainstorm,10/20/2025,9:30 AM,10/20/2025,10:30 AM,False,Brainstorm reels and posts,Office,False
Creative Brief Review,10/20/2025,10:30 AM,10/20/2025,11:30 AM,False,Review briefs and request assets,Office,False
Lunch,10/20/2025,12:00 PM,10/20/2025,12:30 PM,False,Lunch break,Cafe,False
Community Management,10/20/2025,12:30 PM,10/20/2025,1:00 PM,False,Reply to comments and DMs,Office,False
School Pickup,10/20/2025,3:15 PM,10/20/2025,3:45 PM,False,Pick up kids from school,Elementary School,True
Dog Walk (Morning),10/21/2025,6:30 AM,10/21/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/21/2025,7:45 AM,10/21/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/21/2025,9:00 AM,10/21/2025,9:15 AM,False,Daily standup with social team,Office,False
Influencer Outreach,10/21/2025,9:30 AM,10/21/2025,10:30 AM,False,Prospect and email influencers,Office,False
Analytics Deep Dive,10/21/2025,10:30 AM,10/21/2025,11:30 AM,False,Analyze cohort performance,Office,False
Lunch,10/21/2025,12:00 PM,10/21/2025,12:30 PM,False,Lunch break,Cafe,False
Soccer Practice (Child),10/21/2025,5:30 PM,10/21/2025,6:30 PM,False,Kids soccer practice,Community Field,True
Parent-Teacher Conference,10/21/2025,6:45 PM,10/21/2025,7:15 PM,False,Brief check-in with teacher,Elementary School,True
Dog Walk (Morning),10/22/2025,6:30 AM,10/22/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/22/2025,7:45 AM,10/22/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
WFH Day,10/22/2025,9:00 AM,10/22/2025,5:00 PM,False,Working from home today,Home Office,False
Kids Music Class,10/22/2025,5:30 PM,10/22/2025,6:15 PM,False,Music class for kids,Community Center,True
Dog Walk (Morning),10/23/2025,6:30 AM,10/23/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/23/2025,7:45 AM,10/23/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/23/2025,9:00 AM,10/23/2025,9:15 AM,False,Daily standup with social team,Office,False
Creative Review with Brand,10/23/2025,2:00 PM,10/23/2025,3:00 PM,False,Review assets with brand team,Office,False
Soccer Practice (Child),10/23/2025,5:30 PM,10/23/2025,6:30 PM,False,Kids soccer practice,Community Field,True
Back-to-School Night,10/23/2025,6:45 PM,10/23/2025,7:45 PM,False,Meet teachers and visit classroom,Elementary School,True
Dog Walk (Morning),10/24/2025,6:30 AM,10/24/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/24/2025,7:45 AM,10/24/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/24/2025,9:00 AM,10/24/2025,9:15 AM,False,Daily standup with social team,Office,False
Weekly Metrics Report,10/24/2025,10:00 AM,10/24/2025,11:00 AM,False,Compile weekly social report,Office,False
Vet Appointment (Cat Vaccines),10/24/2025,11:30 AM,10/24/2025,12:00 PM,False,Cat annual vaccines,Vet Clinic,True
School Pickup,10/24/2025,3:15 PM,10/24/2025,3:45 PM,False,Pick up kids from school,Elementary School,True
Family Pizza Night,10/24/2025,6:30 PM,10/24/2025,7:30 PM,False,Friday pizza night,Home,True
Pumpkin Patch Visit,10/25/2025,10:00 AM,10/25/2025,12:00 PM,False,Visit pumpkin patch and hayride,Farm,True
Dog Park,10/25/2025,3:00 PM,10/25/2025,3:45 PM,False,Playtime for dog,Dog Park,True
Date Night (Dinner),10/25/2025,7:00 PM,10/25/2025,9:00 PM,False,Dinner reservation,Restaurant,True
Grocery Run,10/26/2025,11:00 AM,10/26/2025,12:00 PM,False,Weekly groceries,Market,True
Meal Prep,10/26/2025,4:00 PM,10/26/2025,5:00 PM,False,Prep meals for the week,Home,True
Weekly Family Planning,10/26/2025,5:15 PM,10/26/2025,5:45 PM,False,Plan family schedule,Home,True
Dog Walk (Morning),10/27/2025,6:30 AM,10/27/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/27/2025,7:45 AM,10/27/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/27/2025,9:00 AM,10/27/2025,9:15 AM,False,Daily standup with social team,Office,False
Q4 Content Planning,10/27/2025,9:30 AM,10/27/2025,11:00 AM,False,Plan November content,Office,False
Lunch,10/27/2025,12:00 PM,10/27/2025,12:30 PM,False,Lunch break,Cafe,False
Community Management,10/27/2025,12:30 PM,10/27/2025,1:00 PM,False,Reply to comments and DMs,Office,False
School Pickup,10/27/2025,3:15 PM,10/27/2025,3:45 PM,False,Pick up kids from school,Elementary School,True
Dog Walk (Morning),10/28/2025,6:30 AM,10/28/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/28/2025,7:45 AM,10/28/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/28/2025,9:00 AM,10/28/2025,9:15 AM,False,Daily standup with social team,Office,False
Influencer Outreach,10/28/2025,9:30 AM,10/28/2025,10:30 AM,False,Prospect and email influencers,Office,False
Analytics Deep Dive,10/28/2025,10:30 AM,10/28/2025,11:30 AM,False,Analyze cohort performance,Office,False
Lunch,10/28/2025,12:00 PM,10/28/2025,12:30 PM,False,Lunch break,Cafe,False
Soccer Practice (Child),10/28/2025,5:30 PM,10/28/2025,6:30 PM,False,Kids soccer practice,Community Field,True
Dog Walk (Morning),10/29/2025,6:30 AM,10/29/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/29/2025,7:45 AM,10/29/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
WFH Day,10/29/2025,9:00 AM,10/29/2025,5:00 PM,False,Working from home today,Home Office,False
Kids Dance Class,10/29/2025,5:30 PM,10/29/2025,6:15 PM,False,Kids dance class,Dance Studio,True
Dog Walk (Morning),10/30/2025,6:30 AM,10/30/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/30/2025,7:45 AM,10/30/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/30/2025,9:00 AM,10/30/2025,9:15 AM,False,Daily standup with social team,Office,False
Cross-Functional Strategy Sync,10/30/2025,11:00 AM,10/30/2025,12:00 PM,False,Meet with Product & Brand,Office,False
Creative Review with Brand,10/30/2025,2:00 PM,10/30/2025,3:00 PM,False,Review assets with brand team,Office,False
Back-to-School Night,10/30/2025,6:30 PM,10/30/2025,7:30 PM,False,Meet teachers and visit classroom,Elementary School,True
Dog Walk (Morning),10/31/2025,6:30 AM,10/31/2025,7:00 AM,False,Morning walk with the dog,Neighborhood,True
School Drop-off,10/31/2025,7:45 AM,10/31/2025,8:15 AM,False,Drop off kids at school,Elementary School,True
Social Team Standup,10/31/2025,9:00 AM,10/31/2025,9:15 AM,False,Daily standup with social team,Office,False
Weekly Metrics Report,10/31/2025,10:00 AM,10/31/2025,11:00 AM,False,Compile weekly social report,Office,False
Halloween Parade (School),10/31/2025,1:30 PM,10/31/2025,2:30 PM,False,School costume parade,Elementary School,True
Trick-or-Treating,10/31/2025,6:00 PM,10/31/2025,8:00 PM,False,Neighborhood trick-or-treat,Neighborhood,True
Grocery Run,11/01/2025,11:00 AM,11/01/2025,12:00 PM,False,Weekly groceries,Market,True
Vet Appointment (Dog Checkup),11/01/2025,1:00 PM,11/01/2025,1:30 PM,False,Annual checkup for dog,Vet Clinic,True
Family Park Picnic,11/01/2025,2:00 PM,11/01/2025,4:00 PM,False,Picnic and playtime,City Park,True
Date Night (Home),11/01/2025,8:00 PM,11/01/2025,9:30 PM,False,Takeout and a show,Home,True
Meal Prep,11/02/2025,4:00 PM,11/02/2025,5:00 PM,False,Prep meals for the week,Home,True
Weekly Family Planning,11/02/2025,5:15 PM,11/02/2025,5:45 PM,False,Plan family schedule,Home,True
Sunday Brunch,11/02/2025,10:30 AM,11/02/2025,11:30 AM,False,Brunch with family,Cafe,True
Laundry & House Reset,11/02/2025,2:00 PM,11/02/2025,3:30 PM,False,Laundry and tidy up,Home,True
