Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Daily Standup,09/30/2025,9:00 AM,09/30/2025,9:15 AM,False,Daily team standup,Office,False
Deep Work,09/30/2025,9:30 AM,09/30/2025,11:30 AM,False,Focused development time,Office,False
1:1 with Manager,09/30/2025,11:00 AM,09/30/2025,11:30 AM,False,Weekly 1:1,Office,False
Lunch,09/30/2025,12:30 PM,09/30/2025,1:30 PM,False,Lunch break,Cafe,False
Project Work,09/30/2025,2:00 PM,09/30/2025,4:30 PM,False,Feature development,Office,False
Yoga,09/30/2025,6:00 PM,09/30/2025,7:00 PM,False,Evening yoga class,Studio,False
End of Day Planning,09/30/2025,5:10 PM,09/30/2025,5:30 PM,False,Plan tomorrow's tasks,Office,False
Daily Standup,10/01/2025,9:00 AM,10/01/2025,9:15 AM,False,Daily team standup,Office,False
Deep Work,10/01/2025,9:30 AM,10/01/2025,11:30 AM,False,Focused development time,Office,False
Lunch,10/01/2025,12:30 PM,10/01/2025,1:30 PM,False,Lunch break,Cafe,False
Project Work,10/01/2025,2:00 PM,10/01/2025,4:30 PM,False,Feature development,Office,False
Gym,10/01/2025,6:30 PM,10/01/2025,7:30 PM,False,Strength training,Gym,False
End of Day Planning,10/01/2025,5:10 PM,10/01/2025,5:30 PM,False,Plan tomorrow's tasks,Office,False
Daily Standup,10/02/2025,9:00 AM,10/02/2025,9:15 AM,False,Daily team standup,Office,False
Deep Work,10/02/2025,9:30 AM,10/02/2025,11:30 AM,False,Focused development time,Office,False
Lunch,10/02/2025,12:30 PM,10/02/2025,1:30 PM,False,Lunch break,Cafe,False
Design Review,10/02/2025,2:00 PM,10/02/2025,3:00 PM,False,UX and flows review,Office,False
Project Work,10/02/2025,3:15 PM,10/02/2025,5:00 PM,False,Feature development,Office,False
End of Day Planning,10/02/2025,5:10 PM,10/02/2025,5:30 PM,False,Plan tomorrow's tasks,Office,False
Daily Standup,10/03/2025,9:00 AM,10/03/2025,9:15 AM,False,Daily team standup,Office,False
Deep Work,10/03/2025,9:30 AM,10/03/2025,11:30 AM,False,Focused development time,Office,False
Lunch,10/03/2025,12:30 PM,10/03/2025,1:30 PM,False,Lunch break,Cafe,False
Sprint Review,10/03/2025,2:00 PM,10/03/2025,3:00 PM,False,Sprint review with stakeholders,Office,False
Demo,10/03/2025,3:15 PM,10/03/2025,4:00 PM,False,Feature demo,Office,False
End of Day Planning,10/03/2025,4:10 PM,10/03/2025,4:30 PM,False,Plan next week,Office,False
Gym,10/03/2025,6:30 PM,10/03/2025,7:30 PM,False,Strength training,Gym,False
Brunch with Friends,10/04/2025,11:30 AM,10/04/2025,1:00 PM,False,Weekend brunch,Cafe,False
Date Night,10/04/2025,7:00 PM,10/04/2025,9:30 PM,False,Dinner reservation,Restaurant,True
Grocery Run,10/05/2025,11:00 AM,10/05/2025,12:00 PM,False,Weekly groceries,Market,False
Family Call,10/05/2025,5:00 PM,10/05/2025,5:45 PM,False,Weekly catch-up,Home,True

